,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,-7.365081918553228,-5.99210672811012,-6.174247049266565,-6.238415507513481,-5.739942498348503,-6.083123070271584,-6.159993708579231,-7.142825092230655,-7.409945271596016,-6.120504592890188,-6.451247168425347
1,-7.273273718796918,-6.600223289692624,-6.0394680013520885,-5.897193263583819,-5.977424074939617,-6.5492443165871075,-6.185955768367238,-7.021686101616999,-5.653299134879456,-6.59948140859409,-6.689130163165394
2,-6.37037706172267,-6.379112743345206,-6.798332790229092,-6.504940770767854,-5.568653821633762,-7.24398268586345,-6.4102325818071835,-6.607275149123544,-6.328437127638378,-6.294064980186772,-6.70902902213223
3,-7.096521115457689,-6.046879378756424,-5.974658805229826,-6.391539288477666,-6.11256127679467,-6.604941689714203,-6.306356375043422,-7.5340066609887595,-12.365498846769718,-6.091129257073175,-6.16688269059294
4,-6.643139994521716,-6.152451139342227,-6.577830406285395,-9.211332863244873,-6.296289790278936,-6.135684544252331,-6.1843118932055585,-6.78807124360246,-5.970208061994012,-6.740906908823183,-6.670163503878006
5,-6.44971471433964,-6.709289619465794,-6.9154196523690175,-6.189122892875208,-5.720335380195421,-6.214994620033355,-6.165506590598542,-6.5673400919017375,-7.318596915365105,-6.77619371676534,-6.498146377453369
6,-7.065586545735602,-6.278008641786369,-6.883256619313249,-7.147139250781431,-6.091628824542772,-6.450862134371229,-6.239336251141744,-6.5235980668335465,-6.061622970587691,-6.726974453397106,-7.03113264426639
7,-6.856747880616935,-6.773786376265414,-5.902700566976343,-6.134743834814171,-6.630116504138337,-6.7203588902245315,-6.3626491839448445,-6.603260648937873,-6.17165043243054,-6.771357910728766,-6.423985430800469
8,-6.838869044363623,-5.806269712506057,-6.197279984572109,-6.3126096604737,-5.892032841519051,-6.017147376904929,-6.252368089573781,-6.96549072606008,-6.386583819281072,-7.405732730090708,-7.674253625808112
9,-6.684946989022389,-6.353462186086608,-6.44254314964939,-6.027108891393014,-5.864947485806053,-6.89278209824786,-6.170191941904468,-6.346387395032139,-6.624337696557197,-6.5596363482228,-6.332188354903667
