,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,-6.00,-5.50,-5.45,-5.49,-6.05,-5.88,-5.65,-5.95,-5.76,-6.04,-5.77
1,-5.88,-5.50,-5.79,-5.68,-5.76,-5.64,-5.86,-5.94,-4.49,-5.82,-5.84
2,-5.94,-5.50,-5.31,-5.37,-5.57,-5.83,-5.83,-5.96,-4.34,-6.03,-6.05
3,-5.80,-5.35,-5.47,-5.38,-5.47,-5.92,-5.75,-5.94,-4.92,-5.93,-5.90
4,-6.00,-5.21,-5.55,-6.14,-5.41,-5.89,-5.74,-6.31,-5.08,-5.82,-5.85
5,-5.97,-5.35,-5.67,-5.66,-5.72,-6.04,-5.65,-5.88,-4.64,-5.90,-5.97
6,-6.07,-5.48,-5.80,-5.39,-5.48,-5.57,-6.01,-5.79,-5.25,-5.84,-5.74
7,-6.24,-5.51,-5.42,-5.85,-5.68,-6.37,-5.97,-5.87,-4.89,-5.97,-5.55
8,-5.86,-5.57,-5.39,-5.74,-5.61,-5.62,-6.00,-5.79,-4.35,-5.74,-5.69
9,-5.91,-5.42,-5.57,-5.77,-5.63,-5.97,-5.94,-5.92,-5.15,-5.79,-5.58
