,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,-2.83,-2.71,-2.74,-2.67,-2.60,,,-2.82,-2.51,-2.89,
1,-2.84,-2.64,-2.59,-2.68,-2.66,,,-2.79,-2.56,-2.73,
2,-2.79,-2.58,-2.61,-2.72,-2.66,,,-2.98,-2.41,-2.79,
3,-2.82,-2.52,-2.78,-2.69,-2.65,,,-2.73,-2.55,-2.78,
4,-2.81,-2.62,-2.70,-2.65,-2.82,,,-2.79,-2.59,-2.84,
5,-2.87,-2.70,-2.71,-2.75,-2.74,,,-2.81,-2.56,-2.71,
6,-2.83,-2.63,-2.62,-2.65,-2.70,,,-2.79,-2.69,-2.87,
7,-2.87,-2.55,-2.80,-2.75,-2.60,,,-2.71,-2.48,-2.76,
8,-2.83,-2.62,-2.74,-2.76,-2.71,,,-2.75,-2.54,-2.74,
9,-2.84,-2.54,-2.57,-2.54,-2.71,,,-2.76,-2.53,-2.82,
10,-2.89,-2.58,-2.61,-2.77,-2.64,,,-2.83,-2.59,-2.80,
11,-2.79,-2.60,-2.51,-2.85,-2.75,,,-2.88,-2.66,-2.75,
12,-2.83,-2.61,-2.77,-2.72,-2.74,,,-2.80,-2.63,-2.76,
13,-2.75,-2.44,-2.65,-2.56,-2.72,,,-2.80,-2.59,-2.72,
14,-2.79,-2.55,-2.69,-2.79,-2.68,,,-2.83,-2.48,-2.68,
15,-2.88,-2.68,-2.68,-2.63,-2.67,,,-2.77,-2.47,-2.71,
16,-2.78,-2.68,-2.53,-2.77,-2.67,,,-2.81,-2.58,-2.76,
17,-2.85,-2.65,-2.71,-2.68,-2.80,,,-2.77,-2.51,-2.85,
18,-2.91,-2.52,-2.65,-2.85,-2.62,,,-2.83,-2.57,-2.70,
19,-2.83,-2.57,-2.63,-2.86,-2.71,,,-2.69,-2.55,-2.68,
20,-2.77,-2.56,-2.64,-2.78,-2.68,,,-2.76,-2.49,-2.78,
21,-2.80,-2.56,-2.58,-2.89,-2.68,,,-2.90,-2.58,-2.77,
22,-2.89,-2.67,-2.76,-2.72,-2.72,,,-2.80,-2.53,-2.88,
23,-2.85,-2.49,-2.58,-2.73,-2.67,,,-2.85,-2.60,-2.89,
