,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,-2.82,-2.67,-2.71,-2.61,-2.59,,,-2.82,-2.54,-2.88,
1,-2.83,-2.66,-2.59,-2.69,-2.65,,,-2.79,-2.58,-2.74,
2,-2.80,-2.56,-2.60,-2.69,-2.78,,,-2.93,-2.38,-2.85,
3,-2.82,-2.56,-2.73,-2.68,-2.61,,,-2.79,-2.51,-2.77,
4,-2.86,-2.58,-2.73,-2.58,-2.80,,,-2.82,-2.56,-2.82,
5,-2.88,-2.69,-2.71,-2.77,-2.77,,,-2.86,-2.50,-2.72,
6,-2.82,-2.64,-2.66,-2.65,-2.80,,,-2.80,-2.67,-2.87,
7,-2.86,-2.54,-2.93,-2.70,-2.64,,,-2.72,-2.51,-2.76,
8,-2.82,-2.63,-2.67,-2.73,-2.74,,,-2.79,-2.59,-2.76,
9,-2.83,-2.54,-2.59,-2.57,-2.85,,,-2.79,-2.54,-2.80,
10,-2.88,-2.58,-2.61,-2.74,-2.66,,,-2.83,-2.57,-2.77,
11,-2.79,-2.59,-2.52,-2.86,-2.63,,,-2.89,-2.57,-2.76,
12,-2.86,-2.61,-2.74,-2.72,-2.84,,,-2.86,-2.55,-2.78,
13,-2.76,-2.46,-2.61,-2.56,-2.70,,,-2.83,-2.67,-2.73,
14,-2.79,-2.53,-2.74,-2.74,-2.64,,,-2.83,-2.45,-2.69,
15,-2.88,-2.65,-2.65,-2.62,-2.56,,,-2.82,-2.44,-2.72,
16,-2.79,-2.67,-2.55,-2.67,-2.68,,,-2.81,-2.50,-2.76,
17,-2.85,-2.63,-2.67,-2.63,-2.77,,,-2.83,-2.53,-2.83,
18,-2.91,-2.51,-2.63,-2.91,-2.62,,,-2.83,-2.59,-2.71,
19,-2.84,-2.56,-2.60,-2.82,-2.71,,,-2.73,-2.63,-2.67,
20,-2.78,-2.57,-2.61,-2.82,-2.64,,,-2.84,-2.53,-2.77,
21,-2.80,-2.56,-2.61,-2.77,-2.69,,,-2.90,-2.50,-2.79,
22,-2.90,-2.66,-2.70,-2.69,-2.71,,,-2.79,-2.51,-2.88,
23,-2.85,-2.49,-2.60,-2.69,-2.76,,,-2.83,-2.53,-2.94,
24,-2.79,-2.66,-2.64,-2.69,-2.69,,,-2.92,-2.69,-2.78,
25,-2.84,-2.71,-2.73,-2.57,-2.79,,,-2.73,-2.56,-2.76,
26,-2.76,-2.63,-2.60,-2.68,-2.59,,,-2.73,-2.56,-2.74,
27,-2.89,-2.62,-2.62,-2.65,-2.62,,,-2.82,-2.52,-2.77,
28,-2.81,-2.62,-2.65,-2.74,-2.79,,,-2.88,-2.58,-2.81,
29,-2.97,-2.64,-2.68,-2.59,-2.66,,,-2.77,-2.54,-2.73,
30,-2.93,-2.66,-2.62,-2.78,-2.85,,,-2.81,-2.60,-2.77,
31,-2.84,-2.69,-2.78,-2.73,-2.63,,,-2.88,-2.60,-2.72,
32,-2.82,-2.61,-2.65,-2.52,-2.63,,,-2.88,-2.44,-2.84,
33,-2.82,-2.55,-2.49,-2.65,-2.65,,,-2.89,-2.58,-2.82,
34,-2.88,-2.64,-2.73,-2.53,-2.67,,,-2.79,-2.59,-2.85,
35,-2.81,-2.64,-2.60,-2.75,-2.63,,,-2.78,-2.60,-2.70,
36,-2.83,-2.74,-2.71,-2.70,-2.73,,,-2.75,-2.61,-2.76,
37,-2.81,-2.53,-2.61,-2.60,-2.74,,,-2.81,-2.48,-2.91,
38,-2.74,-2.70,-2.62,-2.69,-2.78,,,-2.78,-2.61,-2.83,
39,-2.81,-2.52,-2.66,-2.60,-2.68,,,-2.77,-2.39,-2.75,
40,-2.83,-2.61,-2.68,-2.71,-2.69,,,-2.79,-2.60,-2.87,
41,-2.86,-2.59,-2.58,-2.58,-2.57,,,-2.86,-2.53,-2.75,
42,-2.76,-2.42,-2.66,-2.70,-2.71,,,-2.79,-2.53,-2.75,
43,-2.97,-2.60,-2.60,-2.70,-2.69,,,-2.85,-2.58,-2.83,
44,-2.89,-2.53,-2.74,-2.74,-2.66,,,-2.81,-2.50,-2.78,
45,-2.86,-2.52,-2.57,-2.81,-2.73,,,-2.78,-2.64,-2.77,
46,-2.83,-2.60,-2.66,-2.67,-2.63,,,-2.78,-2.57,-2.76,
47,-2.85,-2.65,-2.76,-2.74,-2.59,,,-2.77,-2.71,-2.77,
48,-2.79,-2.60,-2.66,-2.81,-2.80,,,-2.78,-2.62,-2.75,
49,-2.82,-2.59,-2.74,-2.79,-2.69,,,-2.84,-2.64,-2.75,
50,-2.84,-2.59,-2.61,-2.69,-2.73,,,-2.77,-2.68,-2.79,
51,-2.82,-2.55,-2.66,-2.57,-2.61,,,-2.88,-2.50,-2.87,
52,-2.92,-2.58,-2.66,-2.81,-2.87,,,-2.82,-2.53,-2.78,
53,-2.87,-2.58,-2.61,-2.67,-2.64,,,-2.72,-2.53,-2.81,
54,-2.82,-2.61,-2.64,-2.81,-2.60,,,-2.81,-2.59,-2.78,
55,-2.84,-2.51,-2.65,-2.68,-2.69,,,-2.93,-2.57,-2.78,
56,-2.90,-2.64,-2.70,-2.59,-2.70,,,-2.87,-2.49,-2.78,
57,-2.90,-2.59,-2.64,-2.58,-2.74,,,-2.80,-2.64,-2.76,
58,-2.88,-2.48,-2.63,-2.69,-2.73,,,-2.76,-2.56,-2.85,
59,-2.84,-2.49,-2.61,-2.68,-2.71,,,-2.83,-2.58,-2.72,
60,-2.79,-2.57,-2.68,-2.61,-2.68,,,-2.81,-2.51,-2.75,
61,-2.89,-2.59,-2.51,-2.67,-2.78,,,-2.85,-2.61,-2.75,
62,-2.81,-2.62,-2.66,-2.79,-2.65,,,-2.73,-2.54,-2.77,
63,-2.84,-2.56,-2.68,-2.70,-2.56,,,-2.75,-2.52,-2.86,
64,-2.91,-2.63,-2.60,-2.67,-2.65,,,-2.86,-2.52,-2.75,
65,-2.74,-2.54,-2.69,-2.64,-2.69,,,-2.80,-2.62,-2.68,
66,-2.80,-2.56,-2.58,-2.66,-2.69,,,-2.78,-2.42,-2.94,
67,-2.82,-2.54,-2.68,-2.72,-2.74,,,-2.78,-2.53,-2.77,
68,-2.84,-2.57,-2.74,-2.65,-2.86,,,-2.83,-2.54,-2.82,
69,-2.74,-2.56,-2.57,-2.65,-2.64,,,-2.85,-2.53,-2.71,
70,-2.90,-2.73,-2.69,-2.57,-2.55,,,-2.80,-2.63,-2.84,
71,-2.87,-2.53,-2.70,-2.68,-2.53,,,-2.78,-2.66,-2.87,
72,-2.84,-2.64,-2.70,-2.73,-2.67,,,-2.79,-2.44,-2.88,
73,-2.81,-2.52,-2.67,-2.56,-2.68,,,-2.76,-2.51,-2.78,
74,-2.90,-2.56,-2.53,-2.73,-2.74,,,-2.78,-2.57,-2.89,
75,-2.95,-2.50,-2.68,-2.72,-2.78,,,-2.81,-2.62,-2.82,
76,-2.96,-2.58,-2.63,-2.58,-2.74,,,-2.81,-2.50,-2.83,
77,-2.77,-2.71,-2.59,-2.92,-2.64,,,-2.72,-2.54,-2.75,
78,-2.85,-2.52,-2.82,-2.67,-2.70,,,-2.73,-2.58,-2.75,
79,-2.84,-2.51,-2.58,-2.59,-2.70,,,-2.80,-2.53,-2.77,
80,-2.83,-2.55,-2.72,-2.70,-3.06,,,-2.84,-2.49,-2.73,
81,-2.84,-2.74,-2.67,-2.64,-2.91,,,-2.95,-2.50,-2.71,
82,-2.89,-2.51,-2.63,-2.68,-2.77,,,-2.77,-2.64,-2.73,
83,-2.89,-2.69,-2.63,-2.72,-2.75,,,-2.74,-2.57,-2.75,
84,-2.89,-2.56,-2.60,-2.67,-2.72,,,-2.76,-2.52,-2.78,
85,-2.87,-2.58,-2.64,-2.68,-2.77,,,-2.76,-2.63,-2.78,
86,-2.81,-2.64,-2.69,-2.72,-2.61,,,-2.71,-2.51,-2.71,
87,-2.84,-2.61,-2.61,-2.69,-2.69,,,-2.78,-2.52,-2.76,
88,-2.80,-2.50,-2.70,-2.70,-2.73,,,-2.93,-2.54,-2.73,
89,-2.89,-2.59,-2.73,-2.67,-2.65,,,-2.77,-2.46,-2.79,
90,-2.84,-2.59,-2.68,-2.60,-2.61,,,-2.82,-2.56,-2.75,
91,-2.82,-2.66,-2.66,-2.81,-2.69,,,-2.82,-2.49,-2.73,
92,-2.84,-2.67,-2.72,-2.58,-2.55,,,-2.74,-2.60,-2.81,
93,-2.77,-2.65,-2.76,-2.58,-2.84,,,-2.89,-2.55,-2.88,
94,-2.96,-2.53,-2.59,-2.67,-2.88,,,-2.89,-2.66,-2.81,
95,-2.80,-2.61,-2.60,-2.63,-2.80,,,-2.83,-2.63,-2.84,
96,-2.80,-2.59,-2.70,-2.80,-2.63,,,-2.77,-2.56,-2.72,
97,-2.90,-2.51,-2.66,-2.55,-2.70,,,-2.81,-2.44,-2.84,
98,-2.89,-2.54,-2.61,-2.78,-2.60,,,-2.75,-2.57,-2.83,
99,-2.89,-2.57,-2.68,-2.69,-2.82,,,-2.78,-2.61,-2.68,
100,-2.86,-2.59,-2.64,-2.72,-2.67,,,-2.85,-2.60,-2.79,
101,-2.90,-2.51,-2.66,-2.63,-2.89,,,-2.78,-2.37,-2.78,
102,-2.91,-2.64,-2.61,-2.65,-2.75,,,-2.86,-2.67,-2.82,
103,-2.80,-2.53,-2.53,-2.59,-2.71,,,-2.89,-2.45,-2.74,
104,-2.94,-2.66,-2.66,-2.65,-2.68,,,-2.85,-2.40,-2.77,
105,-2.84,-2.59,-2.54,-2.65,-2.66,,,-2.79,-2.68,-2.76,
106,-2.83,-2.47,-2.64,-2.90,-2.82,,,-2.78,-2.50,-2.82,
107,-2.87,-2.58,-2.66,-2.82,-2.67,,,-2.87,-2.51,-2.78,
