,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,-2.85,-2.39,-2.43,-2.47,-2.40,,,-2.67,-1.72,-2.65,
1,-2.88,-2.37,-2.36,-2.53,-2.46,,,-2.61,-1.51,-2.67,
2,-2.88,-2.32,-2.39,-2.42,-2.62,,,-2.66,-1.67,-2.66,
3,-2.85,-2.22,-2.38,-2.52,-2.41,,,-2.85,-1.74,-2.79,
4,-2.90,-2.39,-2.39,-2.66,-2.51,,,-2.77,-2.74,-2.68,
5,-2.85,-2.31,-2.37,-2.44,-2.56,,,-2.77,-1.63,-2.77,
6,-2.76,-2.30,-2.44,-2.48,-2.55,,,-2.68,-2.12,-2.69,
7,-2.90,-2.30,-2.39,-2.52,-2.61,,,-2.67,-1.76,-2.65,
8,-2.80,-2.38,-2.33,-2.44,-2.55,,,-2.80,-1.88,-2.80,
9,-2.90,-2.37,-2.37,-2.50,-2.67,,,-2.76,-2.09,-2.73,
10,-2.99,-2.24,-2.48,-2.43,-2.44,,,-2.87,-1.80,-2.71,
11,-2.95,-2.34,-2.45,-2.32,-2.50,,,-2.76,-1.91,-2.75,
12,-2.92,-2.25,-2.47,-2.45,-2.48,,,-2.76,-2.65,-2.81,
13,-2.74,-2.40,-2.53,-2.32,-2.51,,,-2.81,-1.82,-2.77,
14,-2.82,-2.37,-2.43,-2.57,-2.56,,,-2.70,-1.93,-2.76,
15,-2.81,-2.21,-2.42,-2.49,-2.48,,,-2.79,-2.34,-2.73,
16,-2.80,-2.29,-2.44,-2.47,-2.79,,,-2.75,-1.86,-2.73,
17,-2.87,-2.41,-2.52,-2.57,-2.46,,,-2.74,-2.19,-2.83,
18,-2.89,-2.31,-2.51,-2.49,-2.47,,,-2.66,-1.58,-2.67,
19,-2.96,-2.37,-2.32,-2.45,-2.48,,,-2.70,-1.84,-2.76,
20,-2.84,-2.30,-2.37,-2.54,-2.61,,,-2.99,-1.80,-2.77,
21,-2.93,-2.25,-2.41,-2.36,-2.42,,,-2.68,-2.20,-2.74,
22,-2.73,-2.35,-2.50,-2.61,-2.61,,,-2.69,-1.62,-2.70,
